"V1"
"1" 1
"2" 1
"3" 6
"4" 6
"5" 6
"6" 3
"7" 1
"8" 5
"9" 5
"10" 2
"11" 8
"12" 2
"13" 8
"14" 8
"15" 7
"16" 2
"17" 7
"18" 3
"19" 1
"20" 8
"21" 8
"22" 8
"23" 5
"24" 4
"25" 8
"26" 5
"27" 1
"28" 1
"29" 8
"30" 4
"31" 4
"32" 8
"33" 5
"34" 5
"35" 3
"36" 4
"37" 7
"38" 2
"39" 8
"40" 4
"41" 4
"42" 5
"43" 4
"44" 7
"45" 2
"46" 5
"47" 8
"48" 5
"49" 5
"50" 1
"51" 5
"52" 4
"53" 4
"54" 2
"55" 7
"56" 5
"57" 4
"58" 5
"59" 4
"60" 6
"61" 8
"62" 4
"63" 7
"64" 7
"65" 1
"66" 1
"67" 3
"68" 7
"69" 8
"70" 1
"71" 6
"72" 5
"73" 6
"74" 1
"75" 7
"76" 4
"77" 5
"78" 5
"79" 8
"80" 4
"81" 7
"82" 5
"83" 5
"84" 8
"85" 5
"86" 3
"87" 7
"88" 4
"89" 1
"90" 7
"91" 4
"92" 2
"93" 5
"94" 7
"95" 7
"96" 7
"97" 2
"98" 5
"99" 3
"100" 4
"101" 6
"102" 7
"103" 1
"104" 3
"105" 8
"106" 7
"107" 1
"108" 6
"109" 5
"110" 1
"111" 6
